# Wavelength Flux_Radius_1 Flux_Radius_2 Flux_Radius_3 Flux_Radius_4
4.677249023437500000e+03 1.777462524414062500e+03 1.714470672607421875e+02 6.720602416992187500e+01 1.917592430114746094e+01
4.678499023437500000e+03 1.868838867187500000e+03 1.668246307373046875e+02 6.943305206298828125e+01 3.317176818847656250e+01
4.679749023437500000e+03 1.818890625000000000e+03 1.707231140136718750e+02 6.813867950439453125e+01 3.721963119506835938e+01
4.680999023437500000e+03 1.782710571289062500e+03 1.509508666992187500e+02 5.588836669921875000e+01 2.506711006164550781e+01
4.682249023437500000e+03 1.895368896484375000e+03 1.542153625488281250e+02 6.025745773315429688e+01 4.187235260009765625e+01
4.683499023437500000e+03 1.893401000976562500e+03 1.530309143066406250e+02 5.283772659301757812e+01 4.039785003662109375e+01
4.684749023437500000e+03 1.926775634765625000e+03 1.537442779541015625e+02 5.734264755249023438e+01 1.355489063262939453e+01
4.685999023437500000e+03 1.972437866210937500e+03 1.491829986572265625e+02 7.296687316894531250e+01 2.233714485168457031e+01
4.687249023437500000e+03 1.884809570312500000e+03 1.552482299804687500e+02 6.159555816650390625e+01 3.629362869262695312e+01
4.688499023437500000e+03 1.953524902343750000e+03 1.713063507080078125e+02 5.503643035888671875e+01 3.490366744995117188e+01
4.689749023437500000e+03 1.916301269531250000e+03 1.606746978759765625e+02 6.585129547119140625e+01 5.143218994140625000e+01
4.690999023437500000e+03 1.931571533203125000e+03 1.729761962890625000e+02 9.569483947753906250e+01 3.851729583740234375e+01
4.692249023437500000e+03 1.857109985351562500e+03 1.645185241699218750e+02 7.423226165771484375e+01 3.601177978515625000e+01
4.693499023437500000e+03 1.853901123046875000e+03 1.560503997802734375e+02 6.107674407958984375e+01 4.908218765258789062e+01
4.694749023437500000e+03 1.727756713867187500e+03 1.717724609375000000e+02 6.614564514160156250e+01 3.345838546752929688e+01
4.695999023437500000e+03 1.786885131835937500e+03 1.744240570068359375e+02 5.362733078002929688e+01 1.085232257843017578e+01
4.697249023437500000e+03 1.793092651367187500e+03 1.526257019042968750e+02 3.817594528198242188e+01 3.521534347534179688e+01
4.698499023437500000e+03 1.771403564453125000e+03 1.494699096679687500e+02 6.838543701171875000e+01 3.697330474853515625e+01
4.699749023437500000e+03 1.772675292968750000e+03 1.796707153320312500e+02 4.390041351318359375e+01 3.360554885864257812e+01
4.700999023437500000e+03 1.823403442382812500e+03 1.638459014892578125e+02 5.827772903442382812e+01 2.692143249511718750e+01
4.702249023437500000e+03 1.836046142578125000e+03 1.646615753173828125e+02 7.246261596679687500e+01 3.186442184448242188e+01
4.703499023437500000e+03 1.790950073242187500e+03 1.877450408935546875e+02 6.327355575561523438e+01 2.079286766052246094e+01
4.704749023437500000e+03 1.851706787109375000e+03 1.796356506347656250e+02 4.666429901123046875e+01 3.143129348754882812e+01
4.705999023437500000e+03 1.870176147460937500e+03 1.781995239257812500e+02 6.444483947753906250e+01 2.655879211425781250e+01
4.707249023437500000e+03 1.793112304687500000e+03 1.832630920410156250e+02 6.808726501464843750e+01 5.184808731079101562e+01
4.708499023437500000e+03 1.806152832031250000e+03 1.538940277099609375e+02 6.097365951538085938e+01 4.605297088623046875e+01
4.709749023437500000e+03 1.828115356445312500e+03 1.466225128173828125e+02 5.815346908569335938e+01 3.607005691528320312e+01
4.710999023437500000e+03 1.864001342773437500e+03 1.333146820068359375e+02 7.481807708740234375e+01 2.474349784851074219e+01
4.712249023437500000e+03 1.907086547851562500e+03 1.660442657470703125e+02 6.664368438720703125e+01 3.534899902343750000e+01
4.713499023437500000e+03 1.885408813476562500e+03 1.888460998535156250e+02 8.299572753906250000e+01 2.529775047302246094e+01
4.714749023437500000e+03 1.881898559570312500e+03 1.640886535644531250e+02 6.840011596679687500e+01 3.410233688354492188e+01
4.715999023437500000e+03 1.794849975585937500e+03 1.709019470214843750e+02 5.755253601074218750e+01 3.157059478759765625e+01
4.717249023437500000e+03 1.874989135742187500e+03 1.765793762207031250e+02 8.956678009033203125e+01 3.806684494018554688e+01
4.718499023437500000e+03 1.756666259765625000e+03 1.851473236083984375e+02 8.201367187500000000e+01 4.093469238281250000e+01
4.719749023437500000e+03 1.832039550781250000e+03 1.803860626220703125e+02 5.398608779907226562e+01 3.287989807128906250e+01
4.720999023437500000e+03 1.919466308593750000e+03 1.632839813232421875e+02 6.683792114257812500e+01 3.774218368530273438e+01
4.722249023437500000e+03 1.908819946289062500e+03 1.679844055175781250e+02 6.364383316040039062e+01 3.307273864746093750e+01
4.723499023437500000e+03 1.847546752929687500e+03 1.497276153564453125e+02 6.368881988525390625e+01 3.537911224365234375e+01
4.724749023437500000e+03 1.800973876953125000e+03 1.613456726074218750e+02 7.222018432617187500e+01 3.746606063842773438e+01
4.725999023437500000e+03 1.863326171875000000e+03 1.361148223876953125e+02 8.235844421386718750e+01 3.238546752929687500e+01
4.727249023437500000e+03 1.781272583007812500e+03 1.544870605468750000e+02 7.558977508544921875e+01 3.427828598022460938e+01
4.728499023437500000e+03 1.794136962890625000e+03 1.535757141113281250e+02 6.353196716308593750e+01 3.332540130615234375e+01
4.729749023437500000e+03 1.756553588867187500e+03 1.510856323242187500e+02 6.664617919921875000e+01 3.319872283935546875e+01
4.730999023437500000e+03 1.815387329101562500e+03 1.519353027343750000e+02 5.642429733276367188e+01 2.654304313659667969e+01
4.732249023437500000e+03 1.759197143554687500e+03 1.473610382080078125e+02 5.932955551147460938e+01 3.455858230590820312e+01
4.733499023437500000e+03 1.760859985351562500e+03 1.455288848876953125e+02 5.475892257690429688e+01 2.611549949645996094e+01
4.734749023437500000e+03 1.713572509765625000e+03 1.440386047363281250e+02 6.732019805908203125e+01 3.743457412719726562e+01
4.735999023437500000e+03 1.839067382812500000e+03 1.572907104492187500e+02 5.398709487915039062e+01 3.607228469848632812e+01
4.737249023437500000e+03 1.805930786132812500e+03 1.573241729736328125e+02 6.630335235595703125e+01 4.201738357543945312e+01
4.738499023437500000e+03 1.798081665039062500e+03 1.605364379882812500e+02 6.393003463745117188e+01 4.843383407592773438e+01
4.739749023437500000e+03 1.887331054687500000e+03 1.517294921875000000e+02 6.998175048828125000e+01 3.763641357421875000e+01
4.740999023437500000e+03 1.877362792968750000e+03 1.557720031738281250e+02 7.432767486572265625e+01 3.565842819213867188e+01
4.742249023437500000e+03 1.862109985351562500e+03 1.532553100585937500e+02 6.167984771728515625e+01 4.806721878051757812e+01
4.743499023437500000e+03 1.898437988281250000e+03 1.545940093994140625e+02 7.565779113769531250e+01 4.058031463623046875e+01
4.744749023437500000e+03 1.901520751953125000e+03 1.814989624023437500e+02 7.758142089843750000e+01 3.657031250000000000e+01
4.745999023437500000e+03 1.985894531250000000e+03 1.837966003417968750e+02 4.853132629394531250e+01 3.626699829101562500e+01
4.747249023437500000e+03 1.980668212890625000e+03 1.805217437744140625e+02 5.061600875854492188e+01 2.965031433105468750e+01
4.748499023437500000e+03 2.011123413085937500e+03 1.808419342041015625e+02 5.656036376953125000e+01 4.476768112182617188e+01
4.749749023437500000e+03 1.995981445312500000e+03 1.952449645996093750e+02 7.688092041015625000e+01 3.508041763305664062e+01
4.750999023437500000e+03 1.994983520507812500e+03 1.557236328125000000e+02 7.136705780029296875e+01 2.848451042175292969e+01
4.752249023437500000e+03 2.017984375000000000e+03 1.992479858398437500e+02 7.076852416992187500e+01 2.643288230895996094e+01
4.753499023437500000e+03 2.016302612304687500e+03 1.769512481689453125e+02 6.108379364013671875e+01 3.511524963378906250e+01
4.754749023437500000e+03 1.933632324218750000e+03 1.847460174560546875e+02 7.097607421875000000e+01 3.054007530212402344e+01
4.755999023437500000e+03 1.956617675781250000e+03 1.683298339843750000e+02 6.684534454345703125e+01 3.578914642333984375e+01
4.757249023437500000e+03 1.931492187500000000e+03 1.565388488769531250e+02 8.148311614990234375e+01 3.202258300781250000e+01
4.758499023437500000e+03 1.811728881835937500e+03 1.643686981201171875e+02 5.085778427124023438e+01 4.789563369750976562e+01
4.759749023437500000e+03 1.875938598632812500e+03 1.476474456787109375e+02 7.170796966552734375e+01 4.898344039916992188e+01
4.760999023437500000e+03 1.856925170898437500e+03 1.717614135742187500e+02 6.744164276123046875e+01 3.995454406738281250e+01
4.762249023437500000e+03 1.858461425781250000e+03 1.564657287597656250e+02 6.103708648681640625e+01 2.290158081054687500e+01
4.763499023437500000e+03 1.910367065429687500e+03 1.647069854736328125e+02 7.131920623779296875e+01 3.714273071289062500e+01
4.764749023437500000e+03 1.927438354492187500e+03 1.651026611328125000e+02 6.386542129516601562e+01 3.488034439086914062e+01
4.765999023437500000e+03 1.946144409179687500e+03 1.767756652832031250e+02 5.702252960205078125e+01 3.036128807067871094e+01
4.767249023437500000e+03 1.986678100585937500e+03 1.624254150390625000e+02 6.445213317871093750e+01 3.985384368896484375e+01
4.768499023437500000e+03 1.957305541992187500e+03 1.864002380371093750e+02 5.058393859863281250e+01 3.083740615844726562e+01
4.769749023437500000e+03 2.002931640625000000e+03 1.564900817871093750e+02 6.300700378417968750e+01 4.369422912597656250e+01
4.770999023437500000e+03 1.978522949218750000e+03 1.682178192138671875e+02 6.166451263427734375e+01 3.304683685302734375e+01
4.772249023437500000e+03 1.950130249023437500e+03 1.568281707763671875e+02 6.164636611938476562e+01 2.786018562316894531e+01
4.773499023437500000e+03 2.055420166015625000e+03 1.511884002685546875e+02 6.260373306274414062e+01 4.222985458374023438e+01
4.774749023437500000e+03 1.996310302734375000e+03 1.873306274414062500e+02 7.879106140136718750e+01 4.534459304809570312e+01
4.775999023437500000e+03 2.055322753906250000e+03 1.664075469970703125e+02 5.652577972412109375e+01 3.749440002441406250e+01
4.777249023437500000e+03 1.968114257812500000e+03 1.778840942382812500e+02 7.591253662109375000e+01 3.247615814208984375e+01
4.778499023437500000e+03 2.061746093750000000e+03 1.770359802246093750e+02 5.809161758422851562e+01 4.980215835571289062e+01
4.779749023437500000e+03 2.029164184570312500e+03 1.595964660644531250e+02 7.162760925292968750e+01 4.233969879150390625e+01
4.780999023437500000e+03 2.035938964843750000e+03 1.812882843017578125e+02 6.953328704833984375e+01 3.453306579589843750e+01
4.782249023437500000e+03 2.045131835937500000e+03 1.610007629394531250e+02 7.450054168701171875e+01 3.291759872436523438e+01
4.783499023437500000e+03 1.971766113281250000e+03 1.598148345947265625e+02 6.106465148925781250e+01 3.512195587158203125e+01
4.784749023437500000e+03 2.029435058593750000e+03 1.581909484863281250e+02 5.392765808105468750e+01 3.649765396118164062e+01
4.785999023437500000e+03 1.952438110351562500e+03 1.618394927978515625e+02 6.279887390136718750e+01 3.900516510009765625e+01
4.787249023437500000e+03 1.916092041015625000e+03 1.652126007080078125e+02 6.041816329956054688e+01 3.147802543640136719e+01
4.788499023437500000e+03 2.037401855468750000e+03 1.806104125976562500e+02 6.123170471191406250e+01 4.520493316650390625e+01
4.789749023437500000e+03 1.906256225585937500e+03 1.570507812500000000e+02 5.917877578735351562e+01 2.639900970458984375e+01
4.790999023437500000e+03 1.975588500976562500e+03 1.620094146728515625e+02 7.428186035156250000e+01 2.869348526000976562e+01
4.792249023437500000e+03 1.897729370117187500e+03 1.888936920166015625e+02 5.415628814697265625e+01 3.429624557495117188e+01
4.793499023437500000e+03 1.906218627929687500e+03 1.564512939453125000e+02 5.870531845092773438e+01 3.185619354248046875e+01
4.794749023437500000e+03 1.840484985351562500e+03 1.378651580810546875e+02 6.133024215698242188e+01 4.006653213500976562e+01
4.795999023437500000e+03 1.904404907226562500e+03 1.566096954345703125e+02 4.610480117797851562e+01 2.939897346496582031e+01
4.797249023437500000e+03 1.916571289062500000e+03 1.760434875488281250e+02 4.628435897827148438e+01 4.449072647094726562e+01
4.798499023437500000e+03 1.930404541015625000e+03 1.702161712646484375e+02 6.720996856689453125e+01 3.505177688598632812e+01
4.799749023437500000e+03 1.900005371093750000e+03 1.511142272949218750e+02 6.280801773071289062e+01 3.779944229125976562e+01
4.800999023437500000e+03 1.930301757812500000e+03 1.487925872802734375e+02 5.477007675170898438e+01 2.748334312438964844e+01
4.802249023437500000e+03 2.025296142578125000e+03 1.523898925781250000e+02 6.393992614746093750e+01 2.523362159729003906e+01
4.803499023437500000e+03 1.995882080078125000e+03 1.617077941894531250e+02 6.421141052246093750e+01 3.100266265869140625e+01
4.804749023437500000e+03 2.076785888671875000e+03 1.795930938720703125e+02 6.372119140625000000e+01 3.861068725585937500e+01
4.805999023437500000e+03 2.052072998046875000e+03 1.656880493164062500e+02 7.609393310546875000e+01 3.495499801635742188e+01
4.807249023437500000e+03 2.093188964843750000e+03 1.825524444580078125e+02 6.814889526367187500e+01 4.003482437133789062e+01
4.808499023437500000e+03 1.989776733398437500e+03 1.864085388183593750e+02 6.041613388061523438e+01 2.752579498291015625e+01
4.809749023437500000e+03 2.073496093750000000e+03 1.478885192871093750e+02 5.634503555297851562e+01 2.960269165039062500e+01
4.810999023437500000e+03 1.940374877929687500e+03 1.541053314208984375e+02 6.923648071289062500e+01 3.379597854614257812e+01
4.812249023437500000e+03 1.883964599609375000e+03 1.778552856445312500e+02 7.241361999511718750e+01 3.281599044799804688e+01
4.813499023437500000e+03 1.904335449218750000e+03 1.706957397460937500e+02 6.239336776733398438e+01 3.618836975097656250e+01
4.814749023437500000e+03 1.967395996093750000e+03 1.739855194091796875e+02 6.123641967773437500e+01 4.654257202148437500e+01
4.815999023437500000e+03 1.962735595703125000e+03 1.658266448974609375e+02 6.762090301513671875e+01 4.252421951293945312e+01
4.817249023437500000e+03 1.976017089843750000e+03 1.665362701416015625e+02 6.391046524047851562e+01 4.050006103515625000e+01
4.818499023437500000e+03 2.003871582031250000e+03 1.823697204589843750e+02 5.673718643188476562e+01 3.090960502624511719e+01
4.819749023437500000e+03 1.975916503906250000e+03 1.693975830078125000e+02 6.813190460205078125e+01 3.082961463928222656e+01
4.820999023437500000e+03 2.006638183593750000e+03 1.519210205078125000e+02 6.775289154052734375e+01 3.548297882080078125e+01
4.822249023437500000e+03 2.029571289062500000e+03 2.052541656494140625e+02 6.380767059326171875e+01 4.350958251953125000e+01
4.823499023437500000e+03 2.035201660156250000e+03 1.917891235351562500e+02 6.208930969238281250e+01 4.256710433959960938e+01
4.824749023437500000e+03 2.058718750000000000e+03 1.897646636962890625e+02 8.489855194091796875e+01 3.739212036132812500e+01
4.825999023437500000e+03 2.087118164062500000e+03 1.678574523925781250e+02 7.430608367919921875e+01 3.908548355102539062e+01
4.827249023437500000e+03 2.067409667968750000e+03 1.575871887207031250e+02 6.402500152587890625e+01 3.845335006713867188e+01
4.828499023437500000e+03 2.047100097656250000e+03 1.715523834228515625e+02 7.130064392089843750e+01 2.499069404602050781e+01
4.829749023437500000e+03 2.033104980468750000e+03 1.718375854492187500e+02 6.781098937988281250e+01 3.585914993286132812e+01
4.830999023437500000e+03 2.091081787109375000e+03 1.855201721191406250e+02 7.070916748046875000e+01 3.854306030273437500e+01
4.832249023437500000e+03 2.040731567382812500e+03 1.723174743652343750e+02 6.768637084960937500e+01 3.639880752563476562e+01
4.833499023437500000e+03 2.018279907226562500e+03 1.789505310058593750e+02 6.358915710449218750e+01 3.476473236083984375e+01
4.834749023437500000e+03 2.024997192382812500e+03 1.782165832519531250e+02 5.854487991333007812e+01 3.618753814697265625e+01
4.835999023437500000e+03 1.990435668945312500e+03 1.595591125488281250e+02 6.342006301879882812e+01 3.124357604980468750e+01
4.837249023437500000e+03 2.041153564453125000e+03 1.797962493896484375e+02 6.995642089843750000e+01 3.150549697875976562e+01
4.838499023437500000e+03 2.005880493164062500e+03 1.596715393066406250e+02 7.495877075195312500e+01 2.711236572265625000e+01
4.839749023437500000e+03 2.106968994140625000e+03 1.900541381835937500e+02 4.859866714477539062e+01 3.316508483886718750e+01
4.840999023437500000e+03 2.062648925781250000e+03 1.767293701171875000e+02 6.161912536621093750e+01 3.505559158325195312e+01
4.842249023437500000e+03 2.057468994140625000e+03 1.765126953125000000e+02 6.641664123535156250e+01 5.160795211791992188e+01
4.843499023437500000e+03 2.091661865234375000e+03 1.414905395507812500e+02 5.852449035644531250e+01 3.941257095336914062e+01
4.844749023437500000e+03 2.155922851562500000e+03 1.394604949951171875e+02 7.173799896240234375e+01 3.663430023193359375e+01
4.845999023437500000e+03 2.107796875000000000e+03 1.585440673828125000e+02 6.786872863769531250e+01 3.292733001708984375e+01
4.847249023437500000e+03 2.082883056640625000e+03 1.522949829101562500e+02 8.046950531005859375e+01 2.350545692443847656e+01
4.848499023437500000e+03 2.116791503906250000e+03 1.966347198486328125e+02 8.737393188476562500e+01 3.593397521972656250e+01
4.849749023437500000e+03 2.128956298828125000e+03 1.837013397216796875e+02 6.803942108154296875e+01 3.180361747741699219e+01
4.850999023437500000e+03 2.077369140625000000e+03 1.684073944091796875e+02 7.611129760742187500e+01 2.416805648803710938e+01
4.852249023437500000e+03 2.094030517578125000e+03 1.802360382080078125e+02 6.286614608764648438e+01 3.870690155029296875e+01
4.853499023437500000e+03 2.050739746093750000e+03 1.554669647216796875e+02 6.585886383056640625e+01 3.689960098266601562e+01
4.854749023437500000e+03 2.027907226562500000e+03 1.629053344726562500e+02 6.749425506591796875e+01 3.627662277221679688e+01
4.855999023437500000e+03 2.026501342773437500e+03 1.868295745849609375e+02 6.587128448486328125e+01 3.894436645507812500e+01
4.857249023437500000e+03 2.070698974609375000e+03 1.706117553710937500e+02 6.889139556884765625e+01 3.285985565185546875e+01
4.858499023437500000e+03 1.990198242187500000e+03 1.615073242187500000e+02 7.285743713378906250e+01 3.518337249755859375e+01
4.859749023437500000e+03 2.023031738281250000e+03 1.764250793457031250e+02 6.427053070068359375e+01 4.457295989990234375e+01
4.860999023437500000e+03 2.012061523437500000e+03 1.746922607421875000e+02 7.401425933837890625e+01 3.903768539428710938e+01
4.862249023437500000e+03 1.990913085937500000e+03 1.727966156005859375e+02 6.802878570556640625e+01 4.273231124877929688e+01
4.863499023437500000e+03 1.949006225585937500e+03 2.117187957763671875e+02 7.213985443115234375e+01 3.431311416625976562e+01
4.864749023437500000e+03 2.005743896484375000e+03 1.693200683593750000e+02 7.424121856689453125e+01 3.510096359252929688e+01
4.865999023437500000e+03 1.998738281250000000e+03 1.685236968994140625e+02 6.227560806274414062e+01 2.725823593139648438e+01
4.867249023437500000e+03 2.017732055664062500e+03 1.799353485107421875e+02 6.787999725341796875e+01 3.155014038085937500e+01
4.868499023437500000e+03 2.027823852539062500e+03 1.607154846191406250e+02 5.924242019653320312e+01 2.636208534240722656e+01
4.869749023437500000e+03 1.958018920898437500e+03 1.532626342773437500e+02 6.543446350097656250e+01 3.736854171752929688e+01
4.870999023437500000e+03 1.998693603515625000e+03 1.445637969970703125e+02 5.894359207153320312e+01 3.798868179321289062e+01
4.872249023437500000e+03 1.987844116210937500e+03 1.523451538085937500e+02 6.195029449462890625e+01 3.374072647094726562e+01
4.873499023437500000e+03 2.048398193359375000e+03 1.458257904052734375e+02 6.722711944580078125e+01 3.792368316650390625e+01
4.874749023437500000e+03 2.030628906250000000e+03 1.785903778076171875e+02 5.865837097167968750e+01 2.179771423339843750e+01
4.875999023437500000e+03 2.021187744140625000e+03 1.719820098876953125e+02 5.872943115234375000e+01 3.934244155883789062e+01
4.877249023437500000e+03 2.049563720703125000e+03 1.573555603027343750e+02 6.646606445312500000e+01 4.594190216064453125e+01
4.878499023437500000e+03 1.982973388671875000e+03 1.716298217773437500e+02 6.284592819213867188e+01 3.644509887695312500e+01
4.879749023437500000e+03 1.942167114257812500e+03 1.685591125488281250e+02 6.727975463867187500e+01 3.130619812011718750e+01
4.880999023437500000e+03 2.000909301757812500e+03 1.759687347412109375e+02 6.931042480468750000e+01 3.113444328308105469e+01
4.882249023437500000e+03 1.930166381835937500e+03 1.715832214355468750e+02 6.598881530761718750e+01 2.799662208557128906e+01
4.883499023437500000e+03 1.910494140625000000e+03 1.886699066162109375e+02 6.385950851440429688e+01 2.393832206726074219e+01
4.884749023437500000e+03 1.911310058593750000e+03 1.488550720214843750e+02 6.687948608398437500e+01 2.461116409301757812e+01
4.885999023437500000e+03 1.812855224609375000e+03 1.373745269775390625e+02 6.288468170166015625e+01 3.402848434448242188e+01
4.887249023437500000e+03 1.911314453125000000e+03 1.551227874755859375e+02 5.342146301269531250e+01 5.010138702392578125e+01
